"Id;""Designator"";""Package"";""Quantity"";""Designation"";""Supplier and ref"";",,,,,
"1;""C3",C5,C7,C6,C2,"C8"";""C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"";6;""47uF"";;;"
"2;""R10",R18,"R9"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";3;""1k"";;;",,,
"3;""C11",C12,C4,C10,"C9"";""C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"";5;""100nF"";;;",
"4;""D3"";""D_SMA"";1;""D_Schottky"";;;",,,,,
"5;""R20"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";1;""68k"";;;",,,,,
"6;""U2"";""SOT-23-6_Handsoldering"";1;""DW01"";;;",,,,,
"7;""U5"";""SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias"";1;""FP6298"";;;",,,,,
"8;""D2"";""LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"";1;""red"";;;",,,,,
"9;""J2"";""PinSocket_1x04_P2.54mm_Vertical"";1;""I2C OLED"";;;",,,,,
"10;""R1",R3,"R2"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";3;""51K"";;;",,,
"11;""R4",R21,R15,R14,"R16"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";5;""10k"";;;",
"12;""U4"";""ESP32-C3-WROOM-02"";1;""ESP32-C3-WROOM-02"";;;",,,,,
"13;""L1"";""CD43"";1;""3.3uH"";;;",,,,,
"14;""R5",R6,"R19"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";3;""5.1k"";;;",,,
"15;""NTC3",NTC2,"NTC1"";""PinSocket_1x02_P2.54mm_Vertical"";3;""Thermistor_NTC"";;;",,,
"16;""C1"";""C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"";1;""1uF"";;;",,,,,
"17;""SW3","SW2"";""SW_SPST_CK_RS282G05A3"";2;""SW_Push"";;;",,,,
"18;""U1"";""SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias"";1;""TP4056"";;;",,,,,
"19;""U3"";""SOT-23-6_Handsoldering"";1;""FS8205A"";;;",,,,,
"20;""R8"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";1;""15K"";;;",,,,,
"21;""U6"";""SOT-223-3_TabPin2"";1;""LM1117-3.3"";;;",,,,,
"22;""SW1"";""PinHeader_1x02_P2.54mm_Vertical"";1;""SW_SPST"";;;",,,,,
"23;""J1"";""USB_C_Receptacle_HRO_TYPE-C-31-M-12"";1;""USB_C_Receptacle_USB2.0"";;;",,,,,
"24;""D4"";""LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm"";1;""WS2812B"";;;",,,,,
"25;""R17"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";1;""26k"";;;",,,,,
"26;""R7"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";1;""20K"";;;",,,,,
"27;""R12"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";1;""3k"";;;",,,,,
"28;""D1"";""LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"";1;""green"";;;",,,,,
"29;""R13"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";1;""100"";;;",,,,,
